anzahl;vorname;geschlecht
1;Chante;w
1;Charlott;w
4;Charlotta;w
56;Charlotte;w
1;Charlyne;w
1;Chau;w
1;Chava;w
2;Chayenne;w
1;Chayma;w
2;Chaymae;w
1;Cheima;w
2;Chelsea;w
1;Cherish;w
9;Chiara;w
1;Chidire;w
1;Chie;w
1;Chiemela;w
3;Chioma;w
1;Chrissoula;w
2;Christa;w
1;Christien;w
5;Christin;w
12;Christina;w
5;Christine;w
1;Christy;w
1;Chrysovalantou;w
1;Chukwubunkem;w
3;Ciara;w
1;Cindy;w
1;Cinncinata;w
3;Claire;w
22;Clara;w
1;Claudia;w
1;Claudia-Anna;w
1;Clelia;w
1;Cleo;w
1;Coelestina;w
1;Colleen;w
1;Constance;w
2;Constanze;w
1;Coraline;w
1;Cordula;w
3;Cosima;w
1;Cynthia;w
1;Cyrine;w
1;Dafina;w
1;Dagmara;w
1;Dahja;w
1;Dahlia;w
1;Daiana;w
1;Dajana;w
1;Dakota;w
1;Dalal;w
2;Dalia;w
1;Dalya;w
1;Damla;w
9;Dana;w
1;Danah;w
1;Danica;w
3;Daniela;w
1;Danielle;w
1;Danielle-Cathrine;w
1;Danijela;w
1;Danuta;w
1;Daorsa;w
4;Daria;w
1;Darja;w
1;Darlene;w
1;Darline;w
2;Dawn;w
1;Deborah;w
1;Defne;w
1;Dejin;w
2;Delia;w
1;Delice;w
1;Delila;w
1;Delilah;w
1;Delnas;w
1;Denise;w
2;Deniz;w
1;Dera;w
1;Derin;w
1;Despina;w
1;Desta;w
1;Destina-Devrim;w
1;Dhouha;w
3;Diana;w
1;Dijana;w
2;Dila;w
6;Dilara;w
6;Dina;w
1;Dinganga;w
1;Diteu;w
1;Divyanshi;w
1;Djamila;w
1;Dlin;w
1;Dobromirova;w
1;Donata;w
1;Donjeta;w
1;Donkaova;w
2;Dora;w
1;Dorina;w
2;Doris;w
1;Dorothea;w
2;Dounia;w
1;Drilona;w
1;Ece;w
1;Ecem;w
1;Eclin;w
1;Ecrin-Nur;w
3;Eda;w
1;Edanur;w
1;Edda;w
1;Edem;w
1;Eden;w
1;Edie;w
7;Edith;w
1;Editha;w
1;Eef;w
1;Eev;w
1;Efsa;w
1;Eghosa;w
3;Eileen;w
1;Ejla;w
1;Ekaterini;w
5;Ela;w
1;Elâ;w
1;Elçin;w
1;Elasu-Melek;w
1;Eldina;w
2;Elea;w
1;Eleanora;w
1;Elektra;w
11;Elena;w
1;Elenor;w
1;Eleonora;w
1;Eleonorah;w
1;Eleonore;w
1;Elfi;w
1;Elfida;w
1;Elfriede;w
1;Eliana;w
1;Elianora;w
4;Elif;w
2;Elin;w
8;Elina;w
1;Elira;w
22;Elisa;w
36;Elisabeth;w
1;Elisa-Cathrin;w
1;Elisa-Hoang;w
2;Elise;w
1;Elissa;w
1;Eliza;w
1;Elizabeth;w
1;Eljesa;w
1;Eljona;w
7;Ella;w
8;Ellen;w
3;Elli;w
1;Elly;w
3;Elma;w
1;Elmedina;w
1;Eloïse;w
2;Elona;w
1;Elouise;w
1;Elsa;w
1;Elsie;w
1;Elykia;w
1;Emanuela;w
1;Emanuelle;w
1;Emelie;w
6;Emely;w
37;Emilia;w
7;Emilie;w
1;Emilija;w
33;Emily;w
1;Emily-Castella;w
1;Emina;w
2;Emira;w
38;Emma;w
1;Emmanuela;w
1;Emmy;w
1;Emmy-Katharina;w
1;En;w
1;Engla;w
1;Enna-Sophie;w
1;Erda;w
1;Erin;w
1;Erna;w
2;Erva;w
1;Esilanur;w
2;Esma;w
1;Esmanur;w
1;Esperansa;w
1;Esra;w
1;Estella;w
1;Estelle;w
1;Ester;w
4;Esther;w
1;Esther-Osawense;w
1;Etel;w
2;Eugenia;w
1;Eum;w
13;Eva;w
2;Evamarie;w
1;Evbu;w
2;Evelyn;w
1;Evelyna;w
1;Evelyne;w
1;Evin;w
1;Eya;w
1;Eylül-Marie;w
2;Eyleen;w
1;Ezana;w
4;Fabienne;w
2;Farah;w
1;Farida;w
1;Farina;w
4;Fatima;w
1;Fatime;w
2;Fatjona;w
1;Fatma;w
1;Favour;w
1;Federica;w
6;Fee;w
2;Felia;w
1;Felice;w
2;Felicia;w
4;Felicitas;w
1;Felina;w
1;Feline;w
1;Felizia;w
1;Femke;w
1;Fenômina;w
1;Fenna;w
1;Feo;w
1;Ferhan-Berrin;w
1;Feride;w
1;Fetije;w
1;Fey;w
1;Fiene;w
1;Fijona;w
1;Filipha;w
3;Filippa;w
2;Fine;w
3;Finia;w
8;Finja;w
1;Finni;w
2;Finnja;w
1;Finya;w
9;Fiona;w
2;Firdaous;w
1;Firdevs;w
1;Flavia;w
4;Fleur;w
1;Floe;w
4;Flora;w
1;Florence;w
2;Florentina;w
4;Florentine;w
1;Floriane;w
2;Florina;w
1;Fotini;w
1;Fränze;w
2;Françoise;w
1;Franca;w
1;Frances;w
1;Francesca;w
1;Francisca;w
3;Franka;w
1;Fransgifty;w
27;Franziska;w
1;Freia;w
2;Freya;w
1;Freyja;w
11;Frida;w
1;Frideriki;w
12;Frieda;w
1;Friederika;w
6;Friederike;w
1;Fritzi;w
1;Fulya-Naz;w
1;Gül;w
1;Gülşen;w
1;Gülcihan;w
1;Gülhan;w
1;Gülnur;w
1;Gabriela;w
1;Gaby;w
1;Gamze;w
2;geborenes;w
2;Gene;w
1;Georgia;w
1;Georgievna;w
2;Georgina;w
1;Gerardine;w
1;Gerda;w
3;Gertrud;w
1;Gesine;w
1;Giahan;w
1;Gianna;w
2;Gina;w
1;Gina-Livia;w
1;Gisèle;w
1;Giséle;w
1;Gisela;w
4;Giulia;w
1;Giulietta;w
1;Glara;w
1;Glenny;w
3;Gloria;w
1;Goldfinder;w
1;Golsa;w
3;Grace;w
1;Gracia;w
1;Grada;w
21;Greta;w
1;Gretchen;w
1;Grete;w
1;Gurleen;w
2;Ha;w
1;Hâle;w
1;Hâlenur;w
1;Hadia;w
1;Ha-Eun;w
1;Hafsa;w
1;Haiqa;w
1;Hala;w
1;Hamira;w
2;Han;w
2;Hana;w
1;Hanëmsha;w
1;Hanaa;w
2;Hanae;w
1;Hania;w
24;Hanna;w
34;Hannah;w
1;Hannah-Lea;w
1;Hanna-Tian;w
2;Hanne;w
1;Harda;w
1;Hassina;w
1;Hasti;w
1;Hatice;w
1;Hatun;w
1;Hava;w
1;Havle-Ronya;w
1;Hazar;w
1;Hedaya;w
1;Hedi;w
1;Hediye;w
1;Hedwig;w
1;Heide;w
1;Heidi;w
7;Helen;w
18;Helena;w
7;Helene;w
2;Helga;w
1;Hella;w
1;Henna;w
9;Henriette;w
2;Henrike;w
2;Hermine;w
1;Hill;w
1;Himaanii;w
1;Hinata;w
1;Holly;w
2;Hong;w
1;Hope;w
1;Hoppe;w
1;Houda;w
1;Ibtissam;w
1;Ichraf;w
15;Ida;w
1;Ife;w
1;Ifunanya;w
1;Iga;w
4;Ikram;w
1;Ilana;w
2;Ilaria;w
1;Ilayda;w
2;Ilham;w
3;Iliana;w
1;Ilina;w
2;Ilma;w
1;Ilsa;w
5;Iman;w
1;Imke;w
5;Ina;w
1;Inas;w
1;Indira;w
1;Ines;w
1;Inessa-Kleopatra;w
1;Inga;w
1;Inge;w
6;Ingrid;w
1;Inna;w
1;Intissar;w
1;Ioanna;w
1;Ionna;w
1;Ira;w
2;Irene;w
1;Irina;w
2;Iris;w
1;Isa;w
17;Isabel;w
6;Isabell;w
4;Isabella;w
1;Isabella-Luana;w
4;Isabelle;w
1;Isadora;w
1;Isatou;w
1;Isolde;w
2;Isra;w
1;IuniaAdriana;w
2;Iva;w
1;Iva-Sogona;w
1;Ivova;w
1;Ivy;w
1;Iyari;w
1;Iyra;w
1;Iza;w
1;Jackie;w
3;Jacqueline;w
2;Jade;w
1;Jade-Alegra;w
1;Jadine;w
1;Jadira-Michaela;w
1;Jael;w
1;Jamie;w
14;Jana;w
3;Jane;w
3;Janina;w
1;Janina-Helene;w
1;Janine;w
1;Janis;w
1;Janne;w
2;Jaqueline;w
1;Jara;w
1;Jarla;w
18;Jasmin;w
2;Jasmina;w
1;Jaswant;w
1;Jayla;w
2;Jeanette;w
1;Jeanne;w
1;Jehona;w
2;Jelena;w
1;Jemila-Jemi;w
1;Jeneba;w
1;Jenna;w
1;Jenne;w
3;Jennifer;w
1;Jenny;w
1;Jeraphina;w
9;Jessica;w
1;Jessika;w
7;Jette;w
3;Jil;w
1;Jill;w
1;Jillsa;w
1;Jina;w
1;Joan;w
3;Joana;w
4;Joanna;w
1;Joanna-Aylin;w
4;Joelle;w
1;Joellyn;w
55;Johanna;w
1;Johanna-Sofie;w
1;Joleen;w
7;Jolie;w
1;Jolie-Marie;w
3;Jolin;w
3;Jolina;w
1;Joline;w
1;Jona;w
1;Jonessa;w
1;Jonna;w
1;Joséphine;w
1;Josefina;w
17;Josefine;w
1;Joseline;w
19;Josephine;w
1;Josina;w
1;Joulie;w
1;Jouline;w
2;Joy;w
5;Joyce;w
1;Joyce-Alegra;w
1;Jozefa;w
2;Juana;w
1;Judith;w
1;Judy;w
11;Jule;w
1;Julhia;w
37;Julia;w
6;Juliane;w
12;Julie;w
1;Juliette;w
1;Julija;w
2;Julina;w
1;July;w
2;Juna;w
1;June;w
1;Junia;w
1;Justina;w
1;Justine;w
1;Jutta;w
1;Juwanna;w
1;Käte;w
2;Käthe;w
1;Kadire;w
1;Kadriye;w
1;Kaja;w
1;Kaltrina;w
1;Kanako;w
1;Kanani;w
1;Kanije;w
1;Kanna;w
2;Kaoutar;w
2;Kareen;w
2;Karen;w
3;Karin;w
2;Karina;w
8;Karla;w
1;Karli;w
1;Karlina;w
5;Karlotta;w
1;Karniel;w
2;Karola;w
1;Karoline;w
2;Katarzyna;w
1;Katerina;w
42;Katharina;w
1;Kati;w
1;Katie;w
1;Katrin;w
1;Kaukab;w
1;Kaur;w
1;Kavita;w
1;Kayra;w
1;Kayra-Aysu;w
1;Kea;w
1;Kelly-Lynn;w
1;Kendra;w
1;Kerstin;w
1;Keshia;w
1;Kevser;w
3;Khadija;w
1;Kiana;w
3;Kiara;w
8;Kim;w
2;Kimberly;w
1;Kim-Long;w
3;Kira;w
1;Kiranjot;w
4;Klara;w
1;Klaudia;w
1;Klea;w
1;Kristi;w
5;Kristin;w
2;Kristina;w
4;Kyra;w
1;Laeticia;w
1;Laetitia;w
1;Laetizia;w
1;Lahina;w
1;Lahiri;w
1;Lahja;w
1;Laia;w
1;Laina;w
1;Lajla;w
1;Lakica-Aliya;w
1;Lamia;w
3;Lamis;w
5;Lana;w
1;Lana-Marie;w
35;Lara;w
3;Lara-Sophie;w
6;Larissa;w
1;Latifa;w
1;Latisha;w
29;Laura;w
1;Laura-Jill;w
1;Laura-Leilie;w
1;Laura-Maria;w
1;Laura-Sofie;w
5;Laureen;w
1;Lauri;w
1;Laurie;w
1;Laurine;w
1;Lavigna;w
4;Lavinia;w
1;Layana;w
1;Layla;w
29;Lea;w
1;Leah;w
1;Leana;w
6;Leandra;w
3;Lea-Sophie;w
1;Lea-Zoe;w
1;Lee;w
1;Leela;w
1;Lejdina;w
1;Lemas;w
37;Lena;w
1;Lena-Marie;w
2;Lene;w
17;Leni;w
1;Lenja;w
1;Lenja-Marie;w
1;Lenya;w
6;Leona;w
1;Leonarda;w
4;Leoni;w
2;Leonidovna;w
27;Leonie;w
1;Leonie-Amy;w
3;Leonora;w
2;Leonore;w
1;Leontien;w
1;Letafet;w
1;Leticija;w
1;Letisha;w
1;Letitia;w
4;Letizia;w
1;Letizia-Aurora;w
1;Levke;w
1;Leyan;w
3;Leyla;w
1;Li;w
6;Lia;w
1;Lian;w
3;Liana;w
1;Liane;w
1;Liberté;w
1;Lidia;w
1;Liel;w
1;Lien;w
1;Liesa;w
1;Lieselotta;w
1;Ligia;w
2;Lilia;w
7;Lilian;w
1;Li-Lian;w
1;Liliana;w
1;Liliane;w
1;Lilit;w
2;Lilith;w
1;Liljana;w
6;Lilli;w
3;Lillian;w
11;Lilly;w
1;Lilly-Amalie;w
1;Lillyana;w
1;Lilly-Mei;w
3;Lily;w
1;Lilyana;w
1;Lily-Marie;w
1;Lin;w
36;Lina;w
11;Linda;w
1;Lindita;w
1;Line;w
1;Ling;w
4;Linn;w
1;Linnéa;w
1;Linnea;w
2;Lioba;w
1;Liridona;w
26;Lisa;w
2;Lisa-Maria;w
3;Lisa-Marie;w
1;Lisa-Sophie;w
1;Lisbeth;w
1;Liselotte;w
6;Liv;w
2;Livia;w
1;Liya;w
1;Liz;w
2;Liza;w
1;Lizzy;w
1;Ljubinka;w
2;Lola;w
1;Lona;w
1;Lora;w
1;Lordina;w
5;Lorena;w
1;Loresa;w
1;Loreta;w
2;Lorin;w
1;Lorraine;w
1;Loryn;w
1;Lotanna;w
13;Lotta;w
1;Lotta-Marie;w
4;Lotte;w
2;Lotti;w
14;Louisa;w
1;Louisa-Marie;w
11;Louise;w
1;Louiza;w
1;Loujayna;w
4;Luana;w
1;Luana-Maria;w
5;Luca;w
13;Lucia;w
1;Lucia-Luna;w
8;Lucie;w
1;Lucijana;w
7;Lucy;w
1;Lucy-Jo;w
1;Ludmila;w
30;Luisa;w
33;Luise;w
1;Luize;w
13;Luna;w
2;Luzia;w
4;Luzie;w
1;Lya;w
2;Lydia;w
1;Lydie;w
1;Lyn;w
1;Lyne;w
10;Lynn;w
1;Lynn-Daria;w
1;Lysann;w
2;Mädchen;w
1;Méguy;w
2;Münevver;w
1;Müslüme;w
1;Mía;w
1;Maëlle;w
1;Maat;w
1;Mabellyn;w
1;Madeleine;w
1;Madeline;w
1;Madita;w
1;Madlein;w
1;Madlen;w
1;Madlenka;w
1;Mae;w
1;Magda;w
8;Magdalena;w
1;Magdalene;w
1;Maggy;w
1;Mahawa;w
2;Maia;w
1;Maibrit;w
5;Maike;w
1;Maimouna;w
1;Maira;w
2;Maissa;w
17;Maja;w
1;Malak;w
4;Malena;w
1;Malike;w
3;Malin;w
3;Malina;w
1;Malou;w
1;Malu;w
1;Mana;w
2;Manal;w
1;Manar;w
2;Mandy;w
1;Manuela;w
12;Mara;w
1;Mara-Celina;w
1;Marah;w
1;Maravillas;w
1;Mareike;w
2;Maren;w
2;Margaret;w
2;Margareta;w
3;Margarete;w
1;Margarethe;w
1;Margarita;w
1;Margaux;w
80;Maria;w
1;Maria-Anna;w
5;Mariam;w
1;Mariama;w
1;Mariana;w
1;Mariane;w
153;Marie;w
1;Marie-Claire;w
1;Marieke;w
4;Mariella;w
2;Mariem;w
1;Marienza;w
1;Marie-Soleil;w
1;Marie-Theres;w
1;Marietta;w
1;Marija;w
1;Marijana;w
1;Marike;w
5;Marina;w
1;Marin-Estefania;w
1;Mariolina;w
1;Marion;w
2;Marisa;w
1;Marisol;w
1;Marit;w
1;Marith;w
1;Marjaana;w
1;Marje;w
8;Marla;w
4;Marleen;w
3;Marlen;w
2;Marlena;w
18;Marlene;w
1;Marlin;w
4;Maroua;w
3;Marta;w
1;Marta-Maria;w
13;Martha;w
1;Martina;w
1;Mary;w
1;Maryam;w
1;Mary-Jane;w
1;Mary-Joann;w
1;Masakala;w
20;Mathilda;w
10;Matilda;w
1;Mattea;w
2;Maxi;w
1;Maxim;w
1;Maxine;w
2;May;w
19;Maya;w
1;Mayah;w
1;Mayamba;w
1;Mayra;w
1;Meadhbh;w
4;Medina;w
1;Medine;w
1;Meggie;w
1;Mehad;w
2;Mei;w
1;Meia;w
1;Mei-tien;w
3;Melanie;w
1;Melda;w
1;Melek;w
1;Meliah;w
2;Meliha;w
2;Melike;w
8;Melina;w
1;Melinda;w
3;Melis;w
1;Melisa;w
10;Melissa;w
1;Melissa-Medine;w
1;Melodie;w
2;Melody;w
1;Mendia;w
2;Menekşe;w
1;Mengyao;w
1;Meora;w
1;Mereldie;w
2;Meret;w
1;Meri;w
1;Merit;w
12;Merle;w
1;Merle-Elena;w
1;Merle-Maria;w
1;Merret;w
1;Merve;w
1;Merveille;w
7;Meryem;w
1;Meva;w
40;Mia;w
1;Mia-Amalia;w
1;Mia-Luna;w
1;Mia-Marie;w
1;Mia-Sophie;w
1;Mia-Theresa;w
2;Michaela;w
7;Michelle;w
1;Michelle-Veronika;w
1;Mihrinaz;w
1;Mikelina;w
1;Mikido;w
1;Mikoto;w
16;Mila;w
1;Milana;w
1;Mile;w
3;Milena;w
1;Milena-Lena;w
1;Milia;w
8;Milla;w
1;Min;w
14;Mina;w
1;Mina-Su;w
1;Min-Seo;w
3;Minu;w
1;Mio;w
7;Mira;w
1;Mirabelle;w
1;Miraella;w
6;Miriam;w
1;Mirja;w
1;Mirjam;w
1;Mishel;w
1;Miya;w
1;Miyu;w
1;Mjaltina;w
1;Modeste;w
1;Molly;w
3;Mona;w
2;Monia;w
5;Monika;w
1;Moreen-Renée;w
1;Morena;w
1;Muriel;w
1;Murielle;w
1;My;w
1;Myriam;w
5;Nada;w
1;Nadia;w
2;Nadine;w
1;Nadira;w
2;Nadja;w
2;Naima;w
1;Naira;w
1;Najma;w
1;Nala;w
1;Nami;w
1;Nana;w
1;Nandi;w
1;Naomi;w
1;Naoubi;w
1;Naria;w
1;Nasira;w
1;Natalia;w
3;Natalie;w
1;Natalija;w
2;Natascha;w
2;Nathalie;w
1;Natnicha;w
1;Nava;w
1;Nayla;w
5;Naz;w
1;Nazlı;w
1;Necheva;w
1;Neda;w
2;Neela;w
2;Neele;w
1;Neeltje;w
1;Negah;w
1;Nela;w
17;Nele;w
1;Nele-Josefine;w
1;Nelli;w
4;Nelly;w
2;Nena;w
1;Nethu;w
1;Nevada;w
1;Nexhmije;w
1;Ngoc;w
1;Ngozi;w
1;Nia;w
1;Nica;w
7;Nicole;w
2;Nika;w
4;Nike;w
1;Nikita;w
2;Nikolina;w
3;Nila;w
1;Nilay;w
1;Nimet;w
17;Nina;w
1;Nina-Marina;w
1;Ninette;w
8;Nisa;w
2;Nisanur;w
3;Nisrine;w
1;Niusha;w
1;Nkyarko;w
1;Nneka;w
4;Noa;w
1;Noëlle;w
1;Noé;w
2;Noelle;w
2;Noemi;w
1;Noga-Venus;w
2;Noi;w
8;Nora;w
1;Noriko;w
4;Nour;w
1;Nourhen;w
1;Nova;w
1;Novi;w
1;Ntiamoah;w
7;Nur;w
3;Nuria;w
1;Nurie;w
1;Nuriyah;w
1;Nuvim;w
1;Ny;w
1;Oceana;w
1;Oda;w
1;Odonkor;w
1;Okka;w
1;Olayinka;w
1;Olessja;w
10;Olivia;w
1;Oluwakemi;w
1;Oluwaseun;w
1;Olympia;w
1;Omaima;w
1;Omoshola;w
1;Ornella-Sophia;w
1;Osaruese;w
1;Osei;w
1;Ouahiba;w
1;Ouassila;w
3;Ouassima;w
1;Ouidad;w
1;Oumnia;w
1;Oumy;w
1;Oziama;w
1;Pakize-Nur;w
1;Pamina;w
2;Panagiota;w
1;Panpan;w
1;Pascaline;w
1;Patrícia;w
5;Patricia;w
26;Paula;w
1;Paula-Felicitas;w
11;Paulina;w
9;Pauline;w
1;Pebbles;w
1;Penélope;w
4;Penelope;w
1;Perjana;w
1;Perl;w
1;Perpetual;w
3;Petra;w
3;Philine;w
2;Philippa;w
1;Philomele;w
2;Phoebe;w
13;Pia;w
1;Pia-Samma;w
1;Pilar;w
1;Pinar;w
1;Pippa;w
1;Pokuaa;w
2;Polly;w
1;Pretoria;w
1;Princess;w
1;Provvidenza;w
1;Pylypovna;w
1;Qi;w
1;Quitterie;w
1;Quynh;w
2;Rümeysa;w
1;Rüveyda;w
1;Rabea;w
1;Rabia;w
1;Rachel;w
1;Rafaela;w
1;Rafaelia;w
1;Raghad;w
1;Raihanna;w
1;Rajana;w
1;Rajhana;w
1;Ramona;w
1;Rana;w
3;Rania;w
2;Ranim;w
2;Ranya;w
2;Raphaela;w
1;Ravza;w
1;Rayhana;w
9;Rebecca;w
2;Rebekka;w
2;Regina;w
1;Rehsel;w
5;Renate;w
1;Renee;w
1;Renon;w
1;Renu;w
1;Reyhanna;w
1;Reyna;w
1;Rhein;w
1;Rhodé;w
2;Rieke;w
1;Riham;w
1;Rihana;w
1;Rihanna;w
1;Rim;w
1;Rinah;w
1;Rinesa;w
1;Rita;w
1;Rita-Nneka;w
1;Rivonciya;w
1;Robin;w
1;Rojin;w
1;Rojin-Meyrey;w
2;Rokaya;w
1;Roksana;w
1;Romana;w
1;Romesa;w
1;Romina;w
9;Romy;w
1;Roni;w
1;Ronia;w
1;Ronika;w
4;Ronja;w
2;Roos;w
9;Rosa;w
1;Rosali;w
4;Rosalie;w
8;Rose;w
1;Rosemarie;w
1;Rosi;w
1;Rosina;w
1;Rou;w
1;Roukia;w
1;Roumaissa;w
1;Roxana;w
1;Roxanna;w
1;Roya;w
1;Rozelin;w
1;Rrushe;w
2;Ruby;w
2;Rumejsa;w
5;Ruth;w
1;Ryoko;w
1;Séraphine;w
1;Südenaz;w
1;Süreyya-Emilya;w
2;Sabine;w
2;Sabrina;w
1;Sabrine;w
1;Sae;w
1;Safia;w
1;Safiya;w
1;Saga;w
1;Sahra;w
1;Sainab;w
1;Saki;w
1;Sakura;w
1;Salla;w
2;Sally;w
5;Salma;w
1;Salmah;w
1;Samanta;w
3;Samantha;w
1;Samantha-Joy;w
1;Samiha;w
2;Samira;w
1;Samira-Angelina;w
1;Samra;w
1;Sana;w
1;Sanae;w
1;Sandorff;w
1;Sandrina;w
2;Sandy;w
1;Sanya;w
23;Sara;w
35;Sarah;w
1;Sarah-Marie;w
1;Sarah-Sophia;w
1;Saran;w
1;Saranda;w
1;Saranur;w
2;Sarra;w
1;Sasaara;w
1;Sasha;w
1;Savina;w
1;Sayed;w
1;Sayumi;w
1;Scarlett;w
1;Schakira;w
1;Schams;w
1;Schania;w
1;Schog;w
1;Seçil;w
1;Segoula;w
1;Se-Hee;w
1;Selen;w
1;Selenay;w
1;Selene;w
2;Selin;w
5;Selina;w
1;Seliné;w
1;Selinay;w
